"Tên sản phẩm","Danh mục","Thương hiệu","Giá bán (VNĐ)","Giá khuyến mãi (VNĐ)","Số lượng tồn kho","Mô tả sản phẩm","Thông số kỹ thuật","Hình ảnh sản phẩm","Ảnh phụ (Gallery)","Thẻ (Tags)","Bảo hành"
"Màn hình ASUS Model C4CA4","Màn hình",ASUS,2700000,,6,"Sản phẩm Màn hình ASUS Model C4CA4 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 60Hz, Tấm nền: IPS",,,"Màn hình, ASUS, New","3 năm"
"Chuột AMD Model C81E7",Chuột,AMD,2090000,1881000,10,"Sản phẩm Chuột AMD Model C81E7 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 10591, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, AMD, New","2 năm"
"Chuột MSI Model ECCBC",Chuột,MSI,4790000,4311000,29,"Sản phẩm Chuột MSI Model ECCBC chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 2118, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, MSI, New","3 năm"
"Loa Gigabyte Model A87FF",Loa,Gigabyte,4660000,,45,"Sản phẩm Loa Gigabyte Model A87FF chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Công suất: 94W, Kết nối: Bluetooth/Aux, Hệ thống: 2.1",,,"Loa, Gigabyte, New","2 năm"
"Tai nghe Corsair Model E4DA3","Tai nghe",Corsair,3150000,2835000,46,"Sản phẩm Tai nghe Corsair Model E4DA3 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: In-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Corsair, New","3 năm"
"Tai nghe Corsair Model 16790","Tai nghe",Corsair,410000,,44,"Sản phẩm Tai nghe Corsair Model 16790 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kiểu: Over-ear, Kết nối: 3.5mm/USB, Mic: Có",,,"Tai nghe, Corsair, New","2 năm"
"Chuột Gigabyte Model 8F14E",Chuột,Gigabyte,4170000,,25,"Sản phẩm Chuột Gigabyte Model 8F14E chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 2138, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, Gigabyte, New","2 năm"
"Chuột MSI Model C9F0F",Chuột,MSI,2370000,,27,"Sản phẩm Chuột MSI Model C9F0F chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 13134, Kiểu kết nối: Không dây, Mắt đọc: Quang học",,,"Chuột, MSI, New","2 năm"
"Màn hình Gigabyte Model 45C48","Màn hình",Gigabyte,390000,,29,"Sản phẩm Màn hình Gigabyte Model 45C48 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","Kích thước: 27 inch, Tần số quét: 240Hz, Tấm nền: IPS",,,"Màn hình, Gigabyte, New","3 năm"
"Chuột ASUS Model D3D94",Chuột,ASUS,4730000,,38,"Sản phẩm Chuột ASUS Model D3D94 chất lượng cao, hiệu năng vượt trội cho game thủ và đồ họa.","DPI: 1090, Kiểu kết nối: Có dây, Mắt đọc: Quang học",,,"Chuột, ASUS, New","1 năm"
